Type,ATC,Name
glp1,A10BJ01 ,exenatide 
glp1,A10BJ02 ,liraglutide 
glp1,A10BJ03 ,lixisenatide 
glp1,A10BJ04 ,albiglutide 
glp1,A10BJ05 ,dulaglutide 
glp1,A10BJ06 ,semaglutide 
glp1,A10BJ07 ,beinaglutide 
dpp4,A10BH01 ,sitagliptin 
dpp4,A10BH02 ,vildagliptin 
dpp4,A10BH03 ,saxagliptin 
dpp4,A10BH04 ,alogliptin 
dpp4,A10BH05 ,linagliptin 
dpp4,A10BH06 ,gemigliptin 
dpp4,A10BH07 ,evogliptin 
dpp4,A10BH08 ,teneligliptin 
dpp4,A10BH51 ,sitagliptin and simvastatin 
dpp4,A10BH52 ,gemigliptin and rosuvastatin 
sglt2,A10BK01,dapagliflozin 
sglt2,A10BK02 ,canagliflozin 
sglt2,A10BK03 ,empagliflozin 
sglt2,A10BK04 ,ertugliflozin 
sglt2,A10BK05 ,ipragliflozin 
sglt2,A10BK06 ,sotagliflozin 
sglt2,A10BK07 ,luseogliflozin 
biguanides,A10BA02,metformin
biguanides,A10BA03 ,buformin 
biguanides,A10BA01,phenformin 
insulins,A10AD01 ,insulin (human) 
insulins,A10AD02 ,insulin (beef) 
insulins,A10AD03 ,insulin (pork) 
insulins,A10AD04 ,insulin lispro 
insulins,A10AD05 ,insulin aspart 
insulins,A10AD06 ,insulin degludec and insulin aspart 
insulins,A10AD30 ,combinations 
